date,county,state,cases,deaths,latitude,longitude
2020-01-21,snohomish,Washington,1,0,47.84,-122.19
2020-01-22,snohomish,Washington,1,0,47.84,-122.19
2020-01-23,snohomish,Washington,1,0,47.84,-122.19
2020-01-24,cook,Illinois,1,0,41.83,-87.68
2020-01-24,snohomish,Washington,1,0,47.84,-122.19
2020-01-25,orange,California,1,0,33.74,-117.99
2020-01-25,cook,Illinois,1,0,41.83,-87.68
2020-01-25,snohomish,Washington,1,0,47.84,-122.19
2020-01-26,maricopa,Arizona,1,0,33.66,-112.18
2020-01-26,los angeles,California,1,0,33.9,-118.07
2020-01-26,orange,California,1,0,33.74,-117.99
2020-01-26,cook,Illinois,1,0,41.83,-87.68
2020-01-26,snohomish,Washington,1,0,47.84,-122.19
2020-01-27,maricopa,Arizona,1,0,33.66,-112.18
2020-01-27,los angeles,California,1,0,33.9,-118.07
2020-01-27,orange,California,1,0,33.74,-117.99
2020-01-27,cook,Illinois,1,0,41.83,-87.68
2020-01-27,snohomish,Washington,1,0,47.84,-122.19
2020-01-28,maricopa,Arizona,1,0,33.66,-112.18
2020-01-28,los angeles,California,1,0,33.9,-118.07
2020-01-28,orange,California,1,0,33.74,-117.99
2020-01-28,cook,Illinois,1,0,41.83,-87.68
2020-01-28,snohomish,Washington,1,0,47.84,-122.19
2020-01-29,maricopa,Arizona,1,0,33.66,-112.18
2020-01-29,los angeles,California,1,0,33.9,-118.07
2020-01-29,orange,California,1,0,33.74,-117.99
2020-01-29,cook,Illinois,1,0,41.83,-87.68
2020-01-29,snohomish,Washington,1,0,47.84,-122.19
2020-01-30,maricopa,Arizona,1,0,33.66,-112.18
2020-01-30,los angeles,California,1,0,33.9,-118.07
2020-01-30,orange,California,1,0,33.74,-117.99
2020-01-30,cook,Illinois,2,0,41.83,-87.68
2020-01-30,snohomish,Washington,1,0,47.84,-122.19
2020-01-31,maricopa,Arizona,1,0,33.66,-112.18
2020-01-31,los angeles,California,1,0,33.9,-118.07
2020-01-31,orange,California,1,0,33.74,-117.99
2020-01-31,santa clara,California,1,0,37.44,-121.87
2020-01-31,cook,Illinois,2,0,41.83,-87.68
2020-01-31,snohomish,Washington,1,0,47.84,-122.19
2020-02-01,maricopa,Arizona,1,0,33.66,-112.18
2020-02-01,los angeles,California,1,0,33.9,-118.07
2020-02-01,orange,California,1,0,33.74,-117.99
2020-02-01,santa clara,California,1,0,37.44,-121.87
2020-02-01,cook,Illinois,2,0,41.83,-87.68
2020-02-01,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-01,snohomish,Washington,1,0,47.84,-122.19
2020-02-02,maricopa,Arizona,1,0,33.66,-112.18
2020-02-02,los angeles,California,1,0,33.9,-118.07
2020-02-02,orange,California,1,0,33.74,-117.99
2020-02-02,san francisco,California,2,0,37.72,-122.44
2020-02-02,santa clara,California,2,0,37.44,-121.87
2020-02-02,cook,Illinois,2,0,41.83,-87.68
2020-02-02,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-02,snohomish,Washington,1,0,47.84,-122.19
2020-02-03,maricopa,Arizona,1,0,33.66,-112.18
2020-02-03,los angeles,California,1,0,33.9,-118.07
2020-02-03,orange,California,1,0,33.74,-117.99
2020-02-03,san francisco,California,2,0,37.72,-122.44
2020-02-03,santa clara,California,2,0,37.44,-121.87
2020-02-03,cook,Illinois,2,0,41.83,-87.68
2020-02-03,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-03,snohomish,Washington,1,0,47.84,-122.19
2020-02-04,maricopa,Arizona,1,0,33.66,-112.18
2020-02-04,los angeles,California,1,0,33.9,-118.07
2020-02-04,orange,California,1,0,33.74,-117.99
2020-02-04,san francisco,California,2,0,37.72,-122.44
2020-02-04,santa clara,California,2,0,37.44,-121.87
2020-02-04,cook,Illinois,2,0,41.83,-87.68
2020-02-04,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-04,snohomish,Washington,1,0,47.84,-122.19
2020-02-05,maricopa,Arizona,1,0,33.66,-112.18
2020-02-05,los angeles,California,1,0,33.9,-118.07
2020-02-05,orange,California,1,0,33.74,-117.99
2020-02-05,san francisco,California,2,0,37.72,-122.44
2020-02-05,santa clara,California,2,0,37.44,-121.87
2020-02-05,cook,Illinois,2,0,41.83,-87.68
2020-02-05,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-05,snohomish,Washington,1,0,47.84,-122.19
2020-02-05,dane,Wisconsin,1,0,43.07,-89.38
2020-02-06,maricopa,Arizona,1,0,33.66,-112.18
2020-02-06,los angeles,California,1,0,33.9,-118.07
2020-02-06,orange,California,1,0,33.74,-117.99
2020-02-06,san francisco,California,2,0,37.72,-122.44
2020-02-06,santa clara,California,2,0,37.44,-121.87
2020-02-06,cook,Illinois,2,0,41.83,-87.68
2020-02-06,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-06,snohomish,Washington,1,0,47.84,-122.19
2020-02-06,dane,Wisconsin,1,0,43.07,-89.38
2020-02-07,maricopa,Arizona,1,0,33.66,-112.18
2020-02-07,los angeles,California,1,0,33.9,-118.07
2020-02-07,orange,California,1,0,33.74,-117.99
2020-02-07,san francisco,California,2,0,37.72,-122.44
2020-02-07,santa clara,California,2,0,37.44,-121.87
2020-02-07,cook,Illinois,2,0,41.83,-87.68
2020-02-07,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-07,snohomish,Washington,1,0,47.84,-122.19
2020-02-07,dane,Wisconsin,1,0,43.07,-89.38
2020-02-08,maricopa,Arizona,1,0,33.66,-112.18
2020-02-08,los angeles,California,1,0,33.9,-118.07
2020-02-08,orange,California,1,0,33.74,-117.99
2020-02-08,san francisco,California,2,0,37.72,-122.44
2020-02-08,santa clara,California,2,0,37.44,-121.87
2020-02-08,cook,Illinois,2,0,41.83,-87.68
2020-02-08,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-08,snohomish,Washington,1,0,47.84,-122.19
2020-02-08,dane,Wisconsin,1,0,43.07,-89.38
2020-02-09,maricopa,Arizona,1,0,33.66,-112.18
2020-02-09,los angeles,California,1,0,33.9,-118.07
2020-02-09,orange,California,1,0,33.74,-117.99
2020-02-09,san francisco,California,2,0,37.72,-122.44
2020-02-09,santa clara,California,2,0,37.44,-121.87
2020-02-09,cook,Illinois,2,0,41.83,-87.68
2020-02-09,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-09,snohomish,Washington,1,0,47.84,-122.19
2020-02-09,dane,Wisconsin,1,0,43.07,-89.38
2020-02-10,maricopa,Arizona,1,0,33.66,-112.18
2020-02-10,los angeles,California,1,0,33.9,-118.07
2020-02-10,orange,California,1,0,33.74,-117.99
2020-02-10,san diego,California,1,0,32.56,-117.01
2020-02-10,san francisco,California,2,0,37.72,-122.44
2020-02-10,santa clara,California,2,0,37.44,-121.87
2020-02-10,cook,Illinois,2,0,41.83,-87.68
2020-02-10,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-10,snohomish,Washington,1,0,47.84,-122.19
2020-02-10,dane,Wisconsin,1,0,43.07,-89.38
2020-02-11,maricopa,Arizona,1,0,33.66,-112.18
2020-02-11,los angeles,California,1,0,33.9,-118.07
2020-02-11,orange,California,1,0,33.74,-117.99
2020-02-11,san diego,California,1,0,32.56,-117.01
2020-02-11,san francisco,California,2,0,37.72,-122.44
2020-02-11,santa clara,California,2,0,37.44,-121.87
2020-02-11,cook,Illinois,2,0,41.83,-87.68
2020-02-11,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-11,snohomish,Washington,1,0,47.84,-122.19
2020-02-11,dane,Wisconsin,1,0,43.07,-89.38
2020-02-12,maricopa,Arizona,1,0,33.66,-112.18
2020-02-12,los angeles,California,1,0,33.9,-118.07
2020-02-12,orange,California,1,0,33.74,-117.99
2020-02-12,san diego,California,1,0,32.56,-117.01
2020-02-12,san francisco,California,2,0,37.72,-122.44
2020-02-12,santa clara,California,2,0,37.44,-121.87
2020-02-12,cook,Illinois,2,0,41.83,-87.68
2020-02-12,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-12,bexar,Texas,1,0,29.45,-98.5
2020-02-12,snohomish,Washington,1,0,47.84,-122.19
2020-02-12,dane,Wisconsin,1,0,43.07,-89.38
2020-02-13,maricopa,Arizona,1,0,33.66,-112.18
2020-02-13,los angeles,California,1,0,33.9,-118.07
2020-02-13,orange,California,1,0,33.74,-117.99
2020-02-13,san diego,California,1,0,32.56,-117.01
2020-02-13,san francisco,California,2,0,37.72,-122.44
2020-02-13,santa clara,California,2,0,37.44,-121.87
2020-02-13,cook,Illinois,2,0,41.83,-87.68
2020-02-13,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-13,bexar,Texas,2,0,29.45,-98.5
2020-02-13,snohomish,Washington,1,0,47.84,-122.19
2020-02-13,dane,Wisconsin,1,0,43.07,-89.38
2020-02-14,maricopa,Arizona,1,0,33.66,-112.18
2020-02-14,los angeles,California,1,0,33.9,-118.07
2020-02-14,orange,California,1,0,33.74,-117.99
2020-02-14,san diego,California,1,0,32.56,-117.01
2020-02-14,san francisco,California,2,0,37.72,-122.44
2020-02-14,santa clara,California,2,0,37.44,-121.87
2020-02-14,cook,Illinois,2,0,41.83,-87.68
2020-02-14,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-14,bexar,Texas,2,0,29.45,-98.5
2020-02-14,snohomish,Washington,1,0,47.84,-122.19
2020-02-14,dane,Wisconsin,1,0,43.07,-89.38
2020-02-15,maricopa,Arizona,1,0,33.66,-112.18
2020-02-15,los angeles,California,1,0,33.9,-118.07
2020-02-15,orange,California,1,0,33.74,-117.99
2020-02-15,san diego,California,1,0,32.56,-117.01
2020-02-15,san francisco,California,2,0,37.72,-122.44
2020-02-15,santa clara,California,2,0,37.44,-121.87
2020-02-15,cook,Illinois,2,0,41.83,-87.68
2020-02-15,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-15,bexar,Texas,2,0,29.45,-98.5
2020-02-15,snohomish,Washington,1,0,47.84,-122.19
2020-02-15,dane,Wisconsin,1,0,43.07,-89.38
2020-02-16,maricopa,Arizona,1,0,33.66,-112.18
2020-02-16,los angeles,California,1,0,33.9,-118.07
2020-02-16,orange,California,1,0,33.74,-117.99
2020-02-16,san diego,California,1,0,32.56,-117.01
2020-02-16,san francisco,California,2,0,37.72,-122.44
2020-02-16,santa clara,California,2,0,37.44,-121.87
2020-02-16,cook,Illinois,2,0,41.83,-87.68
2020-02-16,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-16,bexar,Texas,2,0,29.45,-98.5
2020-02-16,snohomish,Washington,1,0,47.84,-122.19
2020-02-16,dane,Wisconsin,1,0,43.07,-89.38
2020-02-17,maricopa,Arizona,1,0,33.66,-112.18
2020-02-17,los angeles,California,1,0,33.9,-118.07
2020-02-17,orange,California,1,0,33.74,-117.99
2020-02-17,san diego,California,1,0,32.56,-117.01
2020-02-17,san francisco,California,2,0,37.72,-122.44
2020-02-17,santa clara,California,2,0,37.44,-121.87
2020-02-17,cook,Illinois,2,0,41.83,-87.68
2020-02-17,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-17,douglas,Nebraska,10,0,41.26,-96.01
2020-02-17,bexar,Texas,2,0,29.45,-98.5
2020-02-17,snohomish,Washington,1,0,47.84,-122.19
2020-02-17,dane,Wisconsin,1,0,43.07,-89.38
2020-02-18,maricopa,Arizona,1,0,33.66,-112.18
2020-02-18,los angeles,California,1,0,33.9,-118.07
2020-02-18,orange,California,1,0,33.74,-117.99
2020-02-18,san diego,California,1,0,32.56,-117.01
2020-02-18,san francisco,California,2,0,37.72,-122.44
2020-02-18,santa clara,California,2,0,37.44,-121.87
2020-02-18,cook,Illinois,2,0,41.83,-87.68
2020-02-18,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-18,douglas,Nebraska,10,0,41.26,-96.01
2020-02-18,bexar,Texas,2,0,29.45,-98.5
2020-02-18,snohomish,Washington,1,0,47.84,-122.19
2020-02-18,dane,Wisconsin,1,0,43.07,-89.38
2020-02-19,maricopa,Arizona,1,0,33.66,-112.18
2020-02-19,los angeles,California,1,0,33.9,-118.07
2020-02-19,orange,California,1,0,33.74,-117.99
2020-02-19,san diego,California,1,0,32.56,-117.01
2020-02-19,san francisco,California,2,0,37.72,-122.44
2020-02-19,santa clara,California,2,0,37.44,-121.87
2020-02-19,cook,Illinois,2,0,41.83,-87.68
2020-02-19,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-19,douglas,Nebraska,10,0,41.26,-96.01
2020-02-19,bexar,Texas,2,0,29.45,-98.5
2020-02-19,snohomish,Washington,1,0,47.84,-122.19
2020-02-19,dane,Wisconsin,1,0,43.07,-89.38
2020-02-20,maricopa,Arizona,1,0,33.66,-112.18
2020-02-20,humboldt,California,1,0,40.71,-124.11
2020-02-20,los angeles,California,1,0,33.9,-118.07
2020-02-20,orange,California,1,0,33.74,-117.99
2020-02-20,san diego,California,1,0,32.56,-117.01
2020-02-20,san francisco,California,2,0,37.72,-122.44
2020-02-20,santa clara,California,2,0,37.44,-121.87
2020-02-20,cook,Illinois,2,0,41.83,-87.68
2020-02-20,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-20,douglas,Nebraska,11,0,41.26,-96.01
2020-02-20,bexar,Texas,2,0,29.45,-98.5
2020-02-20,snohomish,Washington,1,0,47.84,-122.19
2020-02-20,dane,Wisconsin,1,0,43.07,-89.38
2020-02-21,maricopa,Arizona,1,0,33.66,-112.18
2020-02-21,humboldt,California,1,0,40.71,-124.11
2020-02-21,los angeles,California,1,0,33.9,-118.07
2020-02-21,orange,California,1,0,33.74,-117.99
2020-02-21,sacramento,California,1,0,38.67,-121.14
2020-02-21,san diego,California,1,0,32.56,-117.01
2020-02-21,san francisco,California,2,0,37.72,-122.44
2020-02-21,santa clara,California,2,0,37.44,-121.87
2020-02-21,cook,Illinois,2,0,41.83,-87.68
2020-02-21,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-21,douglas,Nebraska,11,0,41.26,-96.01
2020-02-21,bexar,Texas,4,0,29.45,-98.5
2020-02-21,snohomish,Washington,1,0,47.84,-122.19
2020-02-21,dane,Wisconsin,1,0,43.07,-89.38
2020-02-22,maricopa,Arizona,1,0,33.66,-112.18
2020-02-22,humboldt,California,1,0,40.71,-124.11
2020-02-22,los angeles,California,1,0,33.9,-118.07
2020-02-22,orange,California,1,0,33.74,-117.99
2020-02-22,sacramento,California,1,0,38.67,-121.14
2020-02-22,san diego,California,1,0,32.56,-117.01
2020-02-22,san francisco,California,2,0,37.72,-122.44
2020-02-22,santa clara,California,2,0,37.44,-121.87
2020-02-22,cook,Illinois,2,0,41.83,-87.68
2020-02-22,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-22,douglas,Nebraska,11,0,41.26,-96.01
2020-02-22,bexar,Texas,4,0,29.45,-98.5
2020-02-22,snohomish,Washington,1,0,47.84,-122.19
2020-02-22,dane,Wisconsin,1,0,43.07,-89.38
2020-02-23,maricopa,Arizona,1,0,33.66,-112.18
2020-02-23,humboldt,California,1,0,40.71,-124.11
2020-02-23,los angeles,California,1,0,33.9,-118.07
2020-02-23,orange,California,1,0,33.74,-117.99
2020-02-23,sacramento,California,1,0,38.67,-121.14
2020-02-23,san diego,California,1,0,32.56,-117.01
2020-02-23,san francisco,California,2,0,37.72,-122.44
2020-02-23,santa clara,California,2,0,37.44,-121.87
2020-02-23,cook,Illinois,2,0,41.83,-87.68
2020-02-23,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-23,douglas,Nebraska,11,0,41.26,-96.01
2020-02-23,bexar,Texas,4,0,29.45,-98.5
2020-02-23,snohomish,Washington,1,0,47.84,-122.19
2020-02-23,dane,Wisconsin,1,0,43.07,-89.38
2020-02-24,maricopa,Arizona,1,0,33.66,-112.18
2020-02-24,humboldt,California,1,0,40.71,-124.11
2020-02-24,los angeles,California,1,0,33.9,-118.07
2020-02-24,orange,California,1,0,33.74,-117.99
2020-02-24,sacramento,California,1,0,38.67,-121.14
2020-02-24,san diego,California,1,0,32.56,-117.01
2020-02-24,san francisco,California,3,0,37.72,-122.44
2020-02-24,santa clara,California,2,0,37.44,-121.87
2020-02-24,solano,California,1,0,38.28,-122.0
2020-02-24,cook,Illinois,2,0,41.83,-87.68
2020-02-24,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-24,douglas,Nebraska,12,0,41.26,-96.01
2020-02-24,bexar,Texas,10,0,29.45,-98.5
2020-02-24,snohomish,Washington,1,0,47.84,-122.19
2020-02-24,spokane,Washington,4,0,47.78,-117.45
2020-02-24,dane,Wisconsin,1,0,43.07,-89.38
2020-02-25,maricopa,Arizona,1,0,33.66,-112.18
2020-02-25,humboldt,California,1,0,40.71,-124.11
2020-02-25,los angeles,California,1,0,33.9,-118.07
2020-02-25,orange,California,1,0,33.74,-117.99
2020-02-25,sacramento,California,1,0,38.67,-121.14
2020-02-25,san diego,California,1,0,32.56,-117.01
2020-02-25,san francisco,California,3,0,37.72,-122.44
2020-02-25,santa clara,California,2,0,37.44,-121.87
2020-02-25,solano,California,1,0,38.28,-122.0
2020-02-25,cook,Illinois,2,0,41.83,-87.68
2020-02-25,suffolk,Massachusetts,1,0,42.41,-70.99
2020-02-25,douglas,Nebraska,13,0,41.26,-96.01
2020-02-25,bexar,Texas,10,0,29.45,-98.5
2020-02-25,salt lake,Utah,1,0,40.65,-112.01
2020-02-25,snohomish,Washington,1,0,47.84,-122.19
